Tytuł,Data publikacji,Liczba wyświetleń,Liczba polubień,Liczba komentarzy,Tagi filmu,Kategorie filmu,Channel_id,Długość filmu,Informacje o lokalizacji,Rodzaj filmu,video_id
Lodz Poland 🇵🇱 (Warned Against Visiting Here),2022-06-23T16:00:16Z,172308,3817,763,"['LODZ', 'lodz poland', 'lodz pronunciation', 'lodz travel vlog', 'lodz vlog', 'lodz 2022', 'lodz poland summer', 'lodz poland 2022', 'lodz poland vlog', 'lodz polska', 'lodz travel', 'lodz tourists', 'lodz worth visiting', 'lodz summer vlog', 'lodz city', 'lodz univeristy', 'lodz poland now', 'lodz 2022 video', 'lodz 4k', 'lodz city poland', 'lodz poland 4k', 'piotrkowska street lodz poland', 'lodz 2022 videos', 'poland lodz city', 'poland travel vlog', 'poland travel guide', 'poland travel', 'Łódź', 'poland travel tips', 'lodz']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT27M16S,"{'latitude': 51.7592485, 'longitude': 19.4559833, 'altitude': 0}",hd,GFeSfva9xJg
Heartbreaking Plane Crash So Close To Airport (LOT Polish Airlines Flight 5055) - DISASTER BREAKDOWN,2023-05-06T12:01:00Z,394139,10223,911,"['poland', 'lot poslish airlines', 'lot polish airlines flight 5055 cvr', 'lot polish airlines flight 5055 crash animation', 'lot polish airlines flight 5055 recording', 'flight 5055', 'lot polish airlines flight 5055', 'lot', 'polish airlines', 'air crash investigation', 'disaster breakdown', 'plane crash', 'lot 5055', 'warsaw', 'warsaw air disaster', 'lot airlines', 'lot airlines crash', 'polish air crash', 'poland plane crash', 'documentary', 'aviation', 'plane crash video', 'plane crash documentary']",27,UCAHoOAB6wy04LvRW2vLffBQ,PT32M45S,{},hd,Vi9Tfs5H-mU
This Is WHAT YOU SHOULD NOT DO IN POLAND!,2020-10-13T12:30:00Z,1473301,52865,4617,"['What You Should Not Do In Poland', 'visiting poland', 'life in poland', 'poland travel', 'visit poland', 'travel to poland', 'what shouldnt i do in poland', 'what to do in poland', 'poland travel vlog', 'poland travel 2020', 'poland travel guide', 'visit poland 2020', 'poland visiting places', 'life in poland as a foreigner', 'life in poland 2020', 'life in poland vlog', 'polish', 'polish people speaking english', 'polish people in the uk', 'travel to poland covid', 'Visit warsaw poland']",22,UCAlZsyC0HuGx7AZI54edKzg,PT8M33S,{},hd,09YnCfyjZbo
Polish president warns of 'great war' involving US troops if Russia is not stopped,2023-09-21T08:00:05Z,66217,754,727,"['brian kilmeade', 'brian kilmeade fox news', 'brian kilmeade fox news podcast', 'brian kilmeade podcast', 'brian kilmeade show', 'brian kilmeade show podcast', 'briank kilmeade show today', 'fnc', 'fox news', 'fox news brian kilmeade', 'fox news brian kilmeade podcast', 'fox news channel', 'fox news kilmeade', 'fox news media', 'fox news network', 'fox news podcast', 'fox podcast', 'kilmeade', 'kilmeade podcast', 'news podcast', 'podcast']",25,UCXIJgqnII2ZOINSWNOGFThA,PT18M3S,{},hd,FT83xPXrdC4
Asking on the streets of Warsaw why foreigners choose Poland to live?,2023-05-16T13:00:12Z,41514,1059,282,"['Immigration Lawyer', 'Migrate to Europe', 'Immigration Poland', 'Work in Poland', 'Travel in Europe', 'asking Warsaw', 'Asking expats', 'expats in poland', 'foreigners in poland', 'cudzoziemcy w polsce', 'cudzoziemiec w polsce', 'immigrants poland', 'Why foreigners live in Poland', 'Why foreigners choose Poland', 'tourists in poland', 'work in Poland', 'study in Poland', 'working visa poland', 'obcokrajowcy w polsce', 'obcokrajowcy o polsce', 'obcokrajowiec w polsce', 'pytanie na ulicach warszawy']",22,UCyV_KZsI0-oe82T2m-ltrVQ,PT11M43S,"{'latitude': 52.2296756, 'longitude': 21.0122287, 'altitude': 0}",hd,HAnu8vZFkXU
Hans Frank - Governor of Occupied Poland Documentary,2022-07-22T22:00:48Z,275103,3633,354,"['Biography', 'History', 'Historical', 'Educational', 'The People Profiles', 'Biography channel', 'the biography channel', 'biography channel', 'biography documentary channel', 'biography tv', 'biography documentary', 'biography a&e', 'biography channel documentary', 'bio', 'biography full episode', 'full biography', 'biography full documentary', 'life story', 'biography of famous people', 'mini biography', 'history', 'full documentary biography', 'biography series on tv', 'full episode']",27,UCD6TPU-PvTMvqgzC_AM7_uA,PT1H2M,{},hd,sdYJaTIM6ss
Jewish life in Poland | DW Documentary,2020-05-05T18:00:25Z,174672,2063,752,"['Documentary', 'Documentaries', 'documentaries', 'DW documentary', 'full documentary', 'DW', 'documentary 2020', 'documentary', 'Ronald S. Lauder', 'Auschwitz', 'Warsaw', 'Holocaust', 'Poland', 'Judaism', 'World Jewish Congress', 'Tad Taube']",27,UCW39zufHfsuGgpLviKh297Q,PT42M26S,{},hd,psWarhwc4eY
Gdańsk in Poland and the Solidarity Movement: The City Where the Revolution Began!,2022-07-27T13:00:18Z,34732,913,209,"['Gdańsk', 'Gdańsk Poland', 'communism in poland', 'lenin shipyard', 'lech walesa solidarity', 'life under communism in poland', 'gdańsk stocznia', 'travel gdansk', 'travel guide gdansk', 'poland travel vlog', 'travel poland 2022', 'poland travel tips', 'Motława River', 'poland shipyard', 'Solidarność', 'solidarity movement poland', 'solidarity movement cold war', 'solidarity movement 1980', 'Anna Walentynowicz', 'gallery Mleczny Piotr', '100cnia', 'gdansk vlog', 'gdansk nightlife', 'lukas stege', 'deutsche welle', 'dw travel']",19,UCAjA4SbeRNqig8NdNszDBsA,PT9M56S,{},hd,f0-n_nWOYOQ
"POLAND, how is it getting RICH? - VisualPolitik EN",2018-06-25T18:30:00Z,1439294,36449,12963,"['VISUALPOLITIK', 'ENGLISH', 'poland', 'poland rich', 'simon whistler', 'polad the new germany', 'eastern europe', 'boleslaw bierut', 'walesa', 'stalin', 'ussr economy', 'german economy', 'poland documentary', 'rich countries', 'developed countries', 'ex ussr countries', 'ex soviet countries', 'future powerhouse', 'most prosperous countries', 'poles', 'polish', 'solidarity union']",25,UCT3v6vL2H5HK4loLMc8pmCw,PT13M17S,{},hd,F1F1c3osIDg
What Americans Know About POLAND? [Kult America],2017-02-14T13:00:03Z,830219,19623,3147,"['mediakraft.tv', 'Ryan Socash', 'Mediakraft Polska', 'Socash', 'Kult America', 'polska', 'poland', 'american', 'street survey', 'sonda', 'sonda uliczna', 'philadephia', 'opinion', 'common knowledge', 'amerykanie', 'kościuszko', 'wałęsa', 'badanie', 'survey', 'opinion poll', 'polling', 'wwii', 'poland in wwii', 'polonia', 'react', 'world history', 'o polsce', 'wywiad', 'interview', 'sondaż', 'zapytaliśmy', 'amerykanie o polsce', 'kult america', 'kult america youtube', 'kult america poland', 'kult america polska', 'ryan socash', 'kult ameryka', 'kult america po polsku']",19,UCiNvk5FE6TESvUQVa4ejfug,PT4M41S,"{'latitude': 39.9525839, 'longitude': -75.1652215, 'altitude': 0}",hd,TH5IaWxMvVU
"Kraków, Poland: Rich History, Vibrant Culture - Rick Steves’ Europe Travel Guide - Travel Bite",2019-07-24T15:00:03Z,36641,1144,41,"['Rick Steves', 'Rick Steves Europe', 'Europe travel guide', 'Europe travel tips', 'Europe travel advice', 'Rick Steves travel videos', 'Europe travel', 'travel', 'travel guide', 'krakow']",19,UCchgIh8Tc4sTmBfnMQ5pDdg,PT1M33S,{},hd,JKdbdOv4P8E
Why Poland is having huge protests,2020-12-08T13:00:13Z,1590860,71237,9169,"['Vox.com', 'vox', 'explain', 'explainer', 'world', 'poland', 'protests', 'poland protests', 'poland protests 2020', 'poland abortion protests', 'abortion law', 'abortion ban', 'protest aborcyjny', ""women's rights"", 'constitutional tribunal', 'Strajk Kobiet', 'Marta Lempart', 'Poland abortion ban', 'democracy', 'poland abortion', 'PiS Poland', 'Law and Justice', 'Julia Przyłębska', 'Jarosław Kaczyński', 'zakaz aborcji', 'Trybunał Konstytucyjny', 'poland constitutional crisis', ""women's strike"", 'strajk kobiet poland', 'warsaw protest']",25,UCLXo7UDZvByw2ixzpQCufnA,PT8M15S,{},hd,wmSXB7ukH4M
Laura - To The Moon - Poland 🇵🇱 - Official Music Video - Junior Eurovision 2022,2022-11-07T10:00:09Z,999837,16835,0,"['junior eurovision song contest', 'Jesc', 'Music', 'Yerevan', 'JESC2022', 'Armenia', 'SpinTheMagic', 'Eurovision']",24,UC-lkYjunAyfultKGuRJz6HQ,PT3M17S,{},hd,3e2tFa-_X9Q
These tiny ships have a serious purpose,2023-11-20T16:00:29Z,1267069,71304,1702,"['tom scott', 'tomscott']",27,UCBa659QWEk1AI4Tg--mrJ2A,PT10M41S,{},hd,jplrbxI5GN8
Poland | Europe's Top Undiscovered Travel Destination?,2019-10-12T14:15:01Z,257134,8127,705,"['Travel', 'Vlog', 'How', 'to', 'trip', 'viaje', 'viajar', 'california', 'vagabrothers', 'alex', 'vagabond', 'best', 'top', 'how', 'California', 'Backpacker', 'Vloggers', 'Poland', 'poland travel vlog', 'warsaw', 'warsaw poland travel', 'warsaw poland', 'warmia i mazury', 'warmia poland', 'warmia and mazury', 'masuria', 'lakes of poland', 'polish nature', 'polish travel vlog', 'polish travel guide', 'vagabrothers poland', 'carrie rad', 'lake ukiel', 'teutonic knights', 'travel tips', 'undiscovered european destinations', 'underrated european countries', 'travel hacks']",22,UCa1WbVCkTqd5ecG6G2adIow,PT19M14S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,FhbDLHAFrBs
What it's like to live in POLAND? - Korean expats thoughts,2022-06-15T16:45:43Z,21517,465,27,"['What’s like to live in Poland', 'Polish-English Youtube', 'life in Warsaw Poland', 'what is it like to live in Poland', 'Klara Smarduch', 'Anna Kawalec', 'international mobility', 'życie w Polsce', 'życie za granica', 'study abroad', 'study in Poland', 'work in Poland', 'living abroad', 'life abroad', 'expat life', 'studia za granicą', 'praca za granicą', 'rozwój osobisty', 'jak wyjechać za granicę', 'jak wyjechać na wymianę', 'jak wyjechać na studia za granicą', 'life in Poland', 'obcokrajowcy w Polsce']",19,UCIvE0xTmHWmYP22l-YogA8Q,PT15M5S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,13fB0PcERuw
"Polish teachers, farmers, bankers are joining the military. Here's why",2023-02-21T13:01:51Z,670349,11757,3604,"['Poland', 'Kaitlan Collins', 'World News', 'CNN', 'Politics', 'Military']",25,UCupvZG-5ko_eiXAupbDfxWw,PT4M14S,{},hd,5h2usq28XYc
Viki Gabor - Superhero - Poland 🇵🇱 - Official Music Video - Junior Eurovision 2019,2019-10-10T14:00:07Z,25229197,259856,20330,"['junior eurovision song contest', 'jesc', '2019', 'jesc2019', 'Wiktoria Gabor', 'Superhero', 'Poland', 'Official', 'Music Video', 'Polska', 'Eurowizji', 'Eurowizja', 'Viki Gabor']",24,UC-lkYjunAyfultKGuRJz6HQ,PT3M13S,{},hd,okG6yNKaS1g
Living in Poland 🇵🇱 #27:Polish Hospital experience |CoVID isolation ward dairies,2022-02-05T14:00:20Z,4478,282,214,"['Covid', 'Isolation', 'Isolation Vlog', 'Poland', 'Living in poland', 'Studying in poland', 'Covid symptoms', 'Omicron', 'Covid-19', 'I had Covid after vaccination', 'Covid bosters', 'Awhobiwom abu', 'Black girl in poland', 'covid 19 symptoms', 'covid symptoms after vaccine', 'covid symptoms day by day timeline', 'covid symptoms day to day', 'covid symptoms omicron', 'foreigner in poland', 'home isolation vlog', 'omicron experience', 'self isolation vlog', 'studying in poland for international students']",22,UCslv4wdjP-0izPO93W6FcQg,PT16M29S,{},hd,yRgIzOjBOCY
KATOWICE POLAND 🇵🇱 (people said it's boring?),2022-06-02T17:00:04Z,42002,1205,204,"['katowice poland', 'katowice poland nightlife', 'katowice poland 4k', 'katowice poland 2022', 'katowice poland 2021', 'katowice vlog 2022', 'katowice poland vlog', 'katowice poland summer', 'katowice poland travel vlog', 'poland travel vlog', 'poland 2022 vlog', 'poland katowice 2022', 'poland katowice city', 'katowice 4k vlog', 'katowice 2022', 'katowice city in poland', 'katowice vlog', 'katowice travel', 'katowice 2022 vlog', 'krakow poland travel vlog', 'warsaw poland travel vlog', 'katowice 4k', 'katowice dron']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT13M19S,"{'latitude': 50.2648919, 'longitude': 19.0237815, 'altitude': 0}",hd,80DdxmCMt-k
Ochman - River - Poland 🇵🇱 - Official Music Video - Eurovision 2022,2022-02-27T09:00:21Z,1537363,33691,2775,['Eurovision Song Contest'],24,UCRpjHHu8ivVWs73uxHlWwFA,PT3M33S,{},hd,wh47vgUwInU
Poland and the War – now and back then: Lukas Stege visits Gdańsk and the Westerplatte,2022-08-03T13:00:26Z,73415,1086,370,"['travel poland 2022', 'poland travel vlog', 'gdansk poland', 'westerplatte 1939', 'westerplatte poland', 'westerplatte gdansk', 'world war 2', 'world war ii', 'gdansk poland travel guide', 'gdansk poland history', 'gdansk poland vlog', 'danzig westerplatte 1939', 'gdansk old town', 'poland in russia ukraine war', 'poland ukraine war', 'poland tourism video', 'lukas stege dw', 'dw travel lukas stege', 'deutsche welle', 'dw travel', 'dw']",19,UCAjA4SbeRNqig8NdNszDBsA,PT7M46S,{},hd,oN3Kxq2vwSM
ZABRZE – Poland In UNDISCOVERED,2021-03-09T17:00:14Z,2508,44,12,"['Poland', 'news', 'latest', 'travelpoland', 'Warsaw', 'visitpoland', 'PolandIN', 'TheBestofPoland', 'PolandInEnglish', 'Polandnews', 'zabrze', 'coal mine', 'ryan socash', 'undiscovered', 'park of military technology']",27,UCBjUPsHj7bXt24SUWNoZ0zA,PT13M26S,{},hd,i-PqzIEMsMM
JPollnd - Moi Laga Khushi (Official audio),2023-11-27T13:30:09Z,38669,7985,657,[],24,UCKWeaOgwo2g2uKLTFmcizQA,PT3M15S,{},hd,1IYvr7Q57Gs
"Irish People Try More Polish Alcohol (95%, 190 Proof)",2021-05-31T20:00:02Z,1339152,37064,2940,"['try channel', 'irish people try', 'irish people', 'irish people taste test', 'polish alcohol', 'polish beers', 'polish vodka', 'polish rectified spirit', 'rectified spirit', 'irish people try polish alcohol', 'irish people try alcohol', 'taste test polish alcohol', 'polish alcohol taste test', 'trying polish alcohol', 'polish vodka taste test', 'taste test polish vodka', 'trying polish vodka']",24,UCabq3No3wXbs6Ut-Pux6SzA,PT11M50S,{},hd,Cx758r5xoAA
ZAKOPANE BLEW US AWAY! Zakopane 2022 | Polish Markets & Food!,2022-05-22T16:00:09Z,74434,4007,164,"['zakopane 2022', 'zakopane 2022 ski jumping', 'zakopane poland', 'zakopane summer 2022', 'zakopane 2022 vlog', 'zakopane travel', 'zakopane food 2022', 'zakopane poland 2022', 'zakopane poland vlog', 'zakopane poland travel vlog', 'poland 2022', 'poland vlog 2022', 'zakopane tatra mountains', 'zakopane tatra 2022', 'zakopane food tour', 'zakopane food vlog', 'zakopane video 2022', 'zakopane tour 2022', 'zakopane poland 4k', 'zakopane summer', 'zakopane morskie', 'zakopane morskie oko', 'zakopane poland summer', 'poland']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT20M58S,"{'latitude': 49.299181, 'longitude': 19.9495621, 'altitude': 0}",hd,LCBMF-rjlfk
Is POLAND SAFE RIGHT NOW? (Krakow Poland 2022),2022-05-21T17:00:03Z,46349,1151,229,"['krakow poland 2022', 'krakow poland', 'krakow vlog 2022', 'krakow poland 4k', 'krakow poland 2022 vlog', 'poland 2022 vlog', 'visit krakow poland', 'visit krakow', 'poland travel 2022', 'poland vlog 2022', 'krakow vlog', 'krakow travel vlog', 'cracow poland', 'krakow travel guide', 'krakow travel video', 'krakow travel tips', 'poland safety', 'is poland safe', 'poland safe 2022', 'poland vlog', 'travel poland 2022', 'krakow poland travel vlog', 'krakow polska', 'krakow walk 4k', 'krakow walking tour', 'krakow video']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT10M49S,"{'latitude': 50.0646501, 'longitude': 19.9449799, 'altitude': 0}",hd,8vr0OvwhhM0
"KRAKOW is amazing! FIRST IMPRESSION of KRAKOW, Poland",2021-12-24T13:45:15Z,18847,935,110,"['poland', 'krakow', 'krakow poland', 'things to do in krakow', 'krakow travel', 'krakow vlog', 'krakow 2021', 'krakow main square', 'krakow wavel', 'wawel castle', 'food in krakow', 'polish food', 'first impression of krakow', 'kraków', 'alfonsoboada', 'fonsi abroad', 'alfonso boada', 'krakow things to do', 'krakow is amazing']",19,UCOVPHypKtkqQQbNO3R7xKsA,PT8M6S,{},hd,aKJJSep1m_Y
The Animated History of Poland | Part 3,2018-04-06T03:30:27Z,640342,21423,1799,"['poland', 'animated history of poland', 'part 3', 'poland history', 'suibhne', 'suibhne history', 'suibhne annimated history', 'polish history']",27,UCQD-0MjUbDBwm2UTVYr0Dag,PT5M11S,{},hd,8P1y2v0BwnM
First Time in Gdansk 🇵🇱 Poland’s Baltic Gem!,2022-07-10T15:00:16Z,46370,1509,251,"['gdansk', 'gdansk poland', 'gdansk 4k', 'gdansk nightlife', 'gdansk vlog', 'gdansk pronunciation', 'gdansk poland walking tour', 'gdansk walking tour', 'gdansk poland travel vlog', 'gdansk poland 2022', 'gdansk poland travel video', 'gdansk city tour', 'gdansk city', 'gdansk things to do', 'gdansk tour', 'gdańsk polska', 'visit gdańsk', 'gdańsk things to do', 'what to do in gdansk', 'gdańsk travel', 'gdansk must see', 'gdansk travel guide', 'poland travel guide', 'gdansk poland 4k', 'gdansk poland vlog', 'gdnask', 'poland']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT18M21S,"{'latitude': 54.3520252, 'longitude': 18.6466384, 'altitude': 0}",hd,GFMWCQdvsAg
7 Things To Know Before Moving to Poland,2021-07-15T11:50:19Z,9662,406,71,[],19,UCXxn_FN2qqd1o9EB-OAsglw,PT8M24S,{},hd,MhOmqfzq6zs
Poland Trailer - Family Travel Season 7,2022-01-03T18:43:37Z,653,10,0,"['travel', 'family travel', 'poland', 'krakow', 'PBS', 'National Geographic', 'adventure']",19,UC8mYMwoT_qNfxKAc7wXtR0Q,PT2M22S,{},hd,iUv-X301peo
GDYNIA 🇵🇱 Poland's Best Tricity?,2022-07-17T15:00:23Z,43920,1183,179,"['Gdynia', 'gdynia poland', 'gdynia beach', 'gdynia 2022', 'gdynia travel', 'gdynia poland 2022', 'visit gdynia', 'gdynia poland 4k', 'gdynia poland vlog', 'gdynia summer', 'gdynia travel vlog', 'gdynia vlog 4k', 'gdynia summer vlog', 'gdynia travel guide', 'gdynia travel video', 'gdynia poland tricity', 'gdynia 4k', 'gdynia poland travel vlog', 'gdynia city', 'gdynia poland nightlife', 'gdynia poland beach', 'poland travel vlog', 'visit poland', 'poland 2022', 'poland travel guide', 'gdynia port', 'travel poland', 'poland']",19,UCaghnfCBQmDjkfE6QDUF2aA,PT17M49S,"{'latitude': 54.5188898, 'longitude': 18.5305409, 'altitude': 0}",hd,jyekw2ckeew
Going Out Prices In Poland (And Some Fun Facts About Polish Leisure Customs),2022-06-29T19:43:04Z,5311,124,36,"['poland vlog', 'poland travel video', 'travel to poland', 'poland travel', 'what shouldnt i do in poland', 'poland travel tips', 'poland country video', 'prices in poland', 'going out in poland', 'poland restaurant prices']",19,UCXxn_FN2qqd1o9EB-OAsglw,PT10M30S,"{'latitude': 50.2580638, 'longitude': 19.0283129, 'altitude': 0}",hd,K2XgGdzhYnc
The Nuclear Bunker Full of Cannibal Ants,2023-11-24T22:00:17Z,186710,10624,378,"['SciShow', 'science', 'Hank', 'Green', 'education', 'learn', 'complexly']",27,UCZYTClx2T1of7BRZ86-8fow,PT4M13S,{},hd,REhirwY_C48
"ultimate DIY food tour around KRAKÓW, POLAND 🇵🇱",2022-09-06T14:00:15Z,18442,486,71,[],19,UCGXNJZwl3W9qaT27yUZjPzA,PT12M31S,{},hd,V1X4zyO14wc
Why Ukraine Needs Poland's Help to Take Down Russia,2023-03-31T19:15:02Z,613354,17500,2960,[],27,UCfdNM3NAhaBOXCafH7krzrA,PT13M43S,{},hd,UAvphlLcCZU
BIAŁYSTOK – Poland In UNDISCOVERED,2019-11-21T11:18:36Z,64001,1244,156,"['Poland', 'news', 'latest', 'travelpoland', 'Warsaw', 'visitpoland', 'PolandIN', 'TheBestofPoland', 'PolandInEnglish', 'Polandnews', 'popiełuszko', 'Griffin Gate', 'Branicki Palace', 'Pałac Branickich', 'Museum of History of Medicine and Pharmacy', 'Holy Spirit', 'Sztuka Mięsa', 'Opera', 'Podlasie', 'Philharmonic', 'Bialowieza forest', 'orthodox church', 'kawelin dog sculpture', 'podlasie opera', 'podlasie philharmonic', 'Belarus border', 'aurochs', 'Ryan Socash']",19,UCBjUPsHj7bXt24SUWNoZ0zA,PT12M31S,"{'latitude': 53.1324886, 'longitude': 23.1688403, 'altitude': 0}",hd,XOC1uk2AKyw
Poland 🇵🇱 - Ala Tracz - I'll Be Standing - Official Music Video - Junior Eurovision 2020,2020-10-23T10:00:11Z,1607417,38500,5267,"['junior eurovision song contest', 'jesc', 'jesc2020', 'move the world', 'Ala Tracz', ""I'll Be Standing"", 'Poland', 'Official Music Video', 'Music', 'muzyka', 'Polska w Konkursie Piosenki Eurowizji dla Dzieci']",24,UC-lkYjunAyfultKGuRJz6HQ,PT3M8S,{},hd,hyuYGWC14nk
Christmas traditions in Poland,2021-12-17T07:22:51Z,6591,140,20,"['polish christmas', 'christmas in poland', 'polish food', 'polish christmas traditions', 'polish christmas food']",19,UCXxn_FN2qqd1o9EB-OAsglw,PT12M4S,{},hd,h-rVFRgrW0Q
Facelift procedure in Poland - Facelift abroad,2014-06-08T15:00:14Z,539,3,2,"['Facelift Procedure In Poland', 'Facelift Abroad', 'Facelift In Poland', 'Facial Procedure In Poland', 'Facelift Warsaw', 'Mini facelift Poland']",22,UCsNW4IcYffvWZMSu-4igXaA,PT2M39S,{},sd,qJXmI-mo20Q
Reacting To An ANIMATED HISTORY OF POLAND,2021-03-23T11:20:11Z,30142,1457,199,"['reacting to an animated history of poland', 'polish history', 'history of poland', 'animated history of poland', 'online education', 'poland reaction history', 'poland', 'polska', 'the witcher', 'poland the witcher', 'polska historia', 'reaction video poland', 'reaction poland', 'vigosdad', 'world war 2 poland', 'warsaw pact', 'polish invasion']",24,UCAlZsyC0HuGx7AZI54edKzg,PT11M5S,{},hd,7Cc5nKenMYk
Are You as Superstitious as a Pole? SUPERSTITIONS IN POLAND,2023-01-13T16:56:11Z,733,65,6,"['learning languages vlog', 'superstitions in Poland', 'superstitions', 'Polish superstitions', 'the most popular superstitions', 'Friday the 13th', 'Poland is superstitious']",27,UCM1vdTt_oFZw5rD0wCLC4dA,PT9M25S,{},hd,hoEWZ6fozdg
Kajima Poland - #GaszynChallenge,2020-07-30T08:35:00Z,2118,19,0,[],22,UCbT1zTbGKho912AjqPR1p4Q,PT1M,{},hd,MxU8hOY3eJQ
"GORLICE - miasto w Beskidzie Niskim, Miasto Światła, Gorlice Poland",2022-07-28T06:30:04Z,6086,156,77,"['Gorlice', 'Beskid Niski', 'wędrówki nie tylko rowerowe', 'WM Foxtrott', 'Uście Gorlickie', 'Ropa', 'Wysowa', 'Szymbark', 'DJI Mini 2', 'dron', 'bazylika mniejsza', 'dwór karwacjanów', 'golgota gorlicka', 'Ropica', 'Kwiatoń', 'Hańczowa', 'gorlice poland', 'gorlice 2022', 'Gorlice rynek', 'Gorlice muzeum', 'kościół św. Andrzeja Boboli', 'skansen przemysłu naftowego', 'gorlice zawodzie', 'gorlice magdalena', 'Miasto Światła', 'Gorlice Poland']",19,UC7poSuWjr_depb3abp2B-eA,PT9M58S,{},hd,GP2fI3knz3I
Warsaw Poland Travel Guide: Best Things To Do in Warsaw,2022-07-23T19:09:13Z,21260,449,73,"['Warsaw', 'Warsaw Poland', 'warsaw 4k', 'Poland', 'Warsaw Travel Guide', 'Warsaw 2022', 'warsaw vlog', 'Old town Warsaw', 'Warsaw Expedia', 'Warsaw Sightseeing', 'Warsaw Attractions', 'Warsaw Tripadvisor', 'Things to do in Warsaw', 'Warsaw things to do', 'Vlog', 'Warsaw Vlog']",19,UCarSZcFQ6-0eqZrAG4pKoMA,PT37M51S,"{'latitude': 52.2296756, 'longitude': 21.0122287, 'altitude': 0}",hd,PbD_R0OrHzA
The Animated History of Poland | Part 2,2017-09-25T14:15:52Z,1213943,29497,3080,"['anitmated', 'history', 'poland', 'part 2', 'suibhne']",27,UCQD-0MjUbDBwm2UTVYr0Dag,PT11M29S,{},hd,8CwFHH_y2So
"Russian missiles hit Poland, killing 2, as Ukraine reports 85 strikes",2022-11-15T19:07:54Z,326525,1967,3258,"['news', 'russia poland', 'poland missiles', 'russia missle', 'is poland nato', 'Przewodów poland', 'russian missles poland', 'russia poland news', 'russia missiles']",25,UC_vFLohxs5PkAxlk7Y6jEtw,PT19S,{},hd,lIXpAipZI_8
KATOWICE– Poland In UNDISCOVERED,2019-12-12T10:08:55Z,47082,608,57,"['Poland', 'news', 'latest', 'travelpoland', 'Warsaw', 'visitpoland', 'PolandIN', 'TheBestofPoland', 'PolandInEnglish', 'Polandnews', 'Silesian Museum', 'Spodek', 'Śląska Prohobicja', 'Kato', 'Katowitz', 'Śląsk', 'Ryan Socash']",27,UCBjUPsHj7bXt24SUWNoZ0zA,PT10M8S,{},hd,3bZrHNhhIsY
Will I Find My Dream Home in… Eastern Europe?,2023-11-17T15:00:39Z,466087,21942,2267,"['zakopane', 'carpathian', 'carpathian mountains', 'carpathian poland', 'ochotnica gorna', 'gorce mountains', 'gorna chata', 'gorczanski park narodowy', 'polish mountains', 'poland travel', 'buying property in poland']",19,UCDTINI9skkeZNY2ZXnBqIkQ,PT24M45S,{},hd,kxMZManapqU
Making 14 Hp Brush Mower - using Lawn Mower parts,2023-06-22T14:51:43Z,1636133,14491,558,"['Diy', 'made in poland', 'how to make', 'make it extrem', 'workshop', 'wood working', 'steel working', 'metal working', 'hommade', 'instructables', 'how', 'to', 'build', 'how to do everything build stuff', 'create', 'how to create']",22,UC8KQ6_RNAvc7a3B5hZ980iQ,PT34M51S,{},hd,ZOZOWI2NaaQ
"How to Sign the Word ""SIGN"" in Poland Sign Language",2018-04-27T12:00:07Z,445,14,0,"['Sign Language', 'ASL', 'American Sign Language', 'World Sign Languages', 'Sign Languages from Different Countries', 'Sign Language Tutor', 'Sign Polyglot', 'Sign Languages Around the World', 'How to Sign Language', 'How to Sign', 'Learn Sign Languages', 'International Sign Languages', 'Deaf Culture', 'Deaf Community', 'Deaf Language', 'ASL for Sign', 'ASL for Sign Language', 'Sign for Sign', 'poland', 'poland sign language', 'polish sign language', 'deaf in poland']",26,UCO9zhhszyR4Av4WxwdBJs-Q,PT1M24S,{},hd,zo23R1IrM2I
"Battle of Orsha, 1514 ⚔️ Russian army bested by the stubborn Hussars ⚔️ DOCUMENTARY",2022-12-03T18:38:08Z,1121062,18797,1381,"['grunwald', 'tannenberg', '1410', 'polish-lithuanian union', 'poland', 'lithuania', 'teutonic order', 'teutons', 'battle of grunwald', 'grunwald 1410', 'tannenberg 1410', 'history', 'documentary', 'kings and generals', 'epic history tv', 'historymarche', 'baltic', 'holy roman empire', 'sigismund', 'wladislaw', 'prussia', 'teutonic knights', 'crusades', 'crusaders', 'world history', 'history lesson', 'military history', 'battles', 'middle ages', 'animated battle', 'history documentary', 'medieval history', 'kingdom', 'oversimplified', 'kurzgesagt', 'russian invasion']",27,UC8MX9ECowgDMTOnFTE8EUJw,PT20M8S,{},hd,AxEluK0e0Lw
Ukraine's vital ally - Why Poland matters in the Russian-Ukrainian war,2022-06-05T12:04:57Z,796179,31627,5153,"['russia', 'ukraine', 'poland', 'analysis', 'weapons supplies', 'invasion']",25,UCC3ehuUksTyQ7bbjGntmx3Q,PT50M43S,{},hd,sSPhOWDkcPk
